Anti_Jewish,Anti_Islamic,state,city,latitude,longitude,date
0,0,Florida,Homestead,25.4687224,-80.4775569,2010
0,0,Florida,Homestead,25.4687224,-80.4775569,2011
0,1,Florida,Homestead,25.4687224,-80.4775569,2012
0,0,Florida,Homestead,25.4687224,-80.4775569,2013
0,0,Florida,Homestead,25.4687224,-80.4775569,2014
0,0,Florida,Homestead,25.4687224,-80.4775569,2015
0,0,Florida,Coral Gables,25.72149,-80.2683838,2010
0,0,Florida,Coral Gables,25.72149,-80.2683838,2011
1,0,Florida,Coral Gables,25.72149,-80.2683838,2012
0,0,Florida,Coral Gables,25.72149,-80.2683838,2013
0,0,Florida,Coral Gables,25.72149,-80.2683838,2014
0,0,Florida,Coral Gables,25.72149,-80.2683838,2015
0,0,Florida,Miami Beach,25.790654,-80.1300455,2010
1,0,Florida,Miami Beach,25.790654,-80.1300455,2011
0,0,Florida,Miami Beach,25.790654,-80.1300455,2012
0,0,Florida,Miami Beach,25.790654,-80.1300455,2013
4,0,Florida,Miami Beach,25.790654,-80.1300455,2014
5,1,Florida,Miami Beach,25.790654,-80.1300455,2015
1,0,Florida,North Miami,25.8900949,-80.1867138,2010
0,0,Florida,North Miami,25.8900949,-80.1867138,2011
0,0,Florida,North Miami,25.8900949,-80.1867138,2012
0,0,Florida,North Miami,25.8900949,-80.1867138,2013
0,0,Florida,North Miami,25.8900949,-80.1867138,2014
0,0,Florida,North Miami,25.8900949,-80.1867138,2015
0,0,Florida,North Miami Beach,25.9331488,-80.1625463,2010
0,0,Florida,North Miami Beach,25.9331488,-80.1625463,2011
0,0,Florida,North Miami Beach,25.9331488,-80.1625463,2012
0,0,Florida,North Miami Beach,25.9331488,-80.1625463,2013
2,0,Florida,North Miami Beach,25.9331488,-80.1625463,2014
0,0,Florida,North Miami Beach,25.9331488,-80.1625463,2015
0,0,Florida,Marco Island,25.9397412,-81.7075355,2010
1,0,Florida,Marco Island,25.9397412,-81.7075355,2011
0,0,Florida,Marco Island,25.9397412,-81.7075355,2012
0,0,Florida,Marco Island,25.9397412,-81.7075355,2013
0,0,Florida,Marco Island,25.9397412,-81.7075355,2014
0,0,Florida,Marco Island,25.9397412,-81.7075355,2015
0,0,Florida,Pembroke Pines,26.008112,-80.280108,2010
0,0,Florida,Pembroke Pines,26.008112,-80.280108,2011
0,0,Florida,Pembroke Pines,26.008112,-80.280108,2012
0,0,Florida,Pembroke Pines,26.008112,-80.280108,2013
0,0,Florida,Pembroke Pines,26.008112,-80.280108,2014
1,0,Florida,Pembroke Pines,26.008112,-80.280108,2015
4,0,Florida,Collier,26.069985,-81.4278984,2010
1,0,Florida,Collier,26.069985,-81.4278984,2011
0,0,Florida,Collier,26.069985,-81.4278984,2012
0,0,Florida,Collier,26.069985,-81.4278984,2013
0,0,Florida,Collier,26.069985,-81.4278984,2014
0,0,Florida,Collier,26.069985,-81.4278984,2015
1,0,Florida,Wilton Manors,26.1603626,-80.138934,2010
0,0,Florida,Wilton Manors,26.1603626,-80.138934,2011
0,0,Florida,Wilton Manors,26.1603626,-80.138934,2012
0,0,Florida,Wilton Manors,26.1603626,-80.138934,2013
0,0,Florida,Wilton Manors,26.1603626,-80.138934,2014
0,0,Florida,Wilton Manors,26.1603626,-80.138934,2015
1,0,Florida,Broward,26.190096,-80.365865,2010
0,0,Florida,Broward,26.190096,-80.365865,2011
0,0,Florida,Broward,26.190096,-80.365865,2012
0,0,Florida,Broward,26.190096,-80.365865,2013
0,0,Florida,Broward,26.190096,-80.365865,2014
0,0,Florida,Broward,26.190096,-80.365865,2015
0,0,Florida,Margate,26.2445263,-80.206436,2010
0,0,Florida,Margate,26.2445263,-80.206436,2011
0,0,Florida,Margate,26.2445263,-80.206436,2012
0,0,Florida,Margate,26.2445263,-80.206436,2013
0,1,Florida,Margate,26.2445263,-80.206436,2014
0,0,Florida,Margate,26.2445263,-80.206436,2015
1,0,Florida,Coconut Creek,26.2517482,-80.1789351,2010
0,0,Florida,Coconut Creek,26.2517482,-80.1789351,2011
0,0,Florida,Coconut Creek,26.2517482,-80.1789351,2012
0,0,Florida,Coconut Creek,26.2517482,-80.1789351,2013
0,0,Florida,Coconut Creek,26.2517482,-80.1789351,2014
0,0,Florida,Coconut Creek,26.2517482,-80.1789351,2015
1,0,Florida,Coral Springs,26.272492,-80.253149,2010
0,0,Florida,Coral Springs,26.272492,-80.253149,2011
0,0,Florida,Coral Springs,26.272492,-80.253149,2012
0,0,Florida,Coral Springs,26.272492,-80.253149,2013
0,0,Florida,Coral Springs,26.272492,-80.253149,2014
1,0,Florida,Coral Springs,26.272492,-80.253149,2015
3,0,Florida,Boca Raton,26.3683064,-80.1289321,2010
1,0,Florida,Boca Raton,26.3683064,-80.1289321,2011
0,0,Florida,Boca Raton,26.3683064,-80.1289321,2012
0,0,Florida,Boca Raton,26.3683064,-80.1289321,2013
0,0,Florida,Boca Raton,26.3683064,-80.1289321,2014
0,0,Florida,Boca Raton,26.3683064,-80.1289321,2015
0,0,Florida,Boynton Beach,26.5317866,-80.0905465,2010
1,0,Florida,Boynton Beach,26.5317866,-80.0905465,2011
0,0,Florida,Boynton Beach,26.5317866,-80.0905465,2012
0,0,Florida,Boynton Beach,26.5317866,-80.0905465,2013
0,0,Florida,Boynton Beach,26.5317866,-80.0905465,2014
0,0,Florida,Boynton Beach,26.5317866,-80.0905465,2015
1,0,Florida,Lake Worth,26.6167555,-80.0684479,2010
0,0,Florida,Lake Worth,26.6167555,-80.0684479,2011
0,0,Florida,Lake Worth,26.6167555,-80.0684479,2012
0,0,Florida,Lake Worth,26.6167555,-80.0684479,2013
0,0,Florida,Lake Worth,26.6167555,-80.0684479,2014
0,0,Florida,Lake Worth,26.6167555,-80.0684479,2015
0,0,Florida,Lake Clarke Shores,26.6453449,-80.0758754,2010
0,0,Florida,Lake Clarke Shores,26.6453449,-80.0758754,2011
0,1,Florida,Lake Clarke Shores,26.6453449,-80.0758754,2012
0,0,Florida,Lake Clarke Shores,26.6453449,-80.0758754,2013
0,0,Florida,Lake Clarke Shores,26.6453449,-80.0758754,2014
0,0,Florida,Lake Clarke Shores,26.6453449,-80.0758754,2015
0,0,Florida,Wellington,26.6617635,-80.2683571,2010
0,0,Florida,Wellington,26.6617635,-80.2683571,2011
1,0,Florida,Wellington,26.6617635,-80.2683571,2012
0,0,Florida,Wellington,26.6617635,-80.2683571,2013
0,0,Florida,Wellington,26.6617635,-80.2683571,2014
0,0,Florida,Wellington,26.6617635,-80.2683571,2015
2,0,Florida,Palm Beach,26.7056206,-80.0364297,2010
1,0,Florida,Palm Beach,26.7056206,-80.0364297,2011
1,0,Florida,Palm Beach,26.7056206,-80.0364297,2012
1,0,Florida,Palm Beach,26.7056206,-80.0364297,2013
0,0,Florida,Palm Beach,26.7056206,-80.0364297,2014
0,0,Florida,Palm Beach,26.7056206,-80.0364297,2015
0,0,Florida,Royal Palm Beach,26.7083984,-80.2306019,2010
1,0,Florida,Royal Palm Beach,26.7083984,-80.2306019,2011
0,0,Florida,Royal Palm Beach,26.7083984,-80.2306019,2012
0,0,Florida,Royal Palm Beach,26.7083984,-80.2306019,2013
0,0,Florida,Royal Palm Beach,26.7083984,-80.2306019,2014
0,0,Florida,Royal Palm Beach,26.7083984,-80.2306019,2015
0,0,Florida,West Palm Beach,26.714394,-80.053188,2010
0,0,Florida,West Palm Beach,26.714394,-80.053188,2011
0,0,Florida,West Palm Beach,26.714394,-80.053188,2012
0,0,Florida,West Palm Beach,26.714394,-80.053188,2013
0,1,Florida,West Palm Beach,26.714394,-80.053188,2014
1,0,Florida,West Palm Beach,26.714394,-80.053188,2015
0,0,Florida,North Palm Beach,26.8171165,-80.0590804,2010
0,0,Florida,North Palm Beach,26.8171165,-80.0590804,2011
0,0,Florida,North Palm Beach,26.8171165,-80.0590804,2012
0,0,Florida,North Palm Beach,26.8171165,-80.0590804,2013
0,0,Florida,North Palm Beach,26.8171165,-80.0590804,2014
0,1,Florida,North Palm Beach,26.8171165,-80.0590804,2015
1,0,Florida,Palm Beach Gardens,26.8233946,-80.1386547,2010
0,0,Florida,Palm Beach Gardens,26.8233946,-80.1386547,2011
0,0,Florida,Palm Beach Gardens,26.8233946,-80.1386547,2012
0,0,Florida,Palm Beach Gardens,26.8233946,-80.1386547,2013
0,0,Florida,Palm Beach Gardens,26.8233946,-80.1386547,2014
0,0,Florida,Palm Beach Gardens,26.8233946,-80.1386547,2015
1,0,Florida,North Port,27.044224,-82.2359254,2010
0,0,Florida,North Port,27.044224,-82.2359254,2011
0,0,Florida,North Port,27.044224,-82.2359254,2012
0,0,Florida,North Port,27.044224,-82.2359254,2013
0,0,Florida,North Port,27.044224,-82.2359254,2014
0,0,Florida,North Port,27.044224,-82.2359254,2015
0,0,Florida,Stuart,27.197548,-80.2528257,2010
0,0,Florida,Stuart,27.197548,-80.2528257,2011
1,1,Florida,Stuart,27.197548,-80.2528257,2012
0,0,Florida,Stuart,27.197548,-80.2528257,2013
0,0,Florida,Stuart,27.197548,-80.2528257,2014
0,0,Florida,Stuart,27.197548,-80.2528257,2015
1,0,Florida,Port St. Lucie,27.2730492,-80.3582261,2010
1,0,Florida,Port St. Lucie,27.2730492,-80.3582261,2011
1,0,Florida,Port St. Lucie,27.2730492,-80.3582261,2012
0,0,Florida,Port St. Lucie,27.2730492,-80.3582261,2013
0,0,Florida,Port St. Lucie,27.2730492,-80.3582261,2014
0,0,Florida,Port St. Lucie,27.2730492,-80.3582261,2015
1,0,Texas,Corpus Christi,27.796413,-97.403737,2010
0,0,Texas,Corpus Christi,27.796413,-97.403737,2011
0,0,Texas,Corpus Christi,27.796413,-97.403737,2012
0,0,Texas,Corpus Christi,27.796413,-97.403737,2013
0,0,Texas,Corpus Christi,27.796413,-97.403737,2014
0,0,Texas,Corpus Christi,27.796413,-97.403737,2015
0,0,Florida,Pinellas,27.876394,-82.7778579,2010
0,0,Florida,Pinellas,27.876394,-82.7778579,2011
0,0,Florida,Pinellas,27.876394,-82.7778579,2012
1,0,Florida,Pinellas,27.876394,-82.7778579,2013
0,0,Florida,Pinellas,27.876394,-82.7778579,2014
0,0,Florida,Pinellas,27.876394,-82.7778579,2015
0,0,Florida,Hillsborough,27.9903597,-82.3017728,2010
0,0,Florida,Hillsborough,27.9903597,-82.3017728,2011
0,1,Florida,Hillsborough,27.9903597,-82.3017728,2012
2,0,Florida,Hillsborough,27.9903597,-82.3017728,2013
0,0,Florida,Hillsborough,27.9903597,-82.3017728,2014
0,0,Florida,Hillsborough,27.9903597,-82.3017728,2015
2,0,Florida,Melbourne,28.0836269,-80.6081089,2010
0,0,Florida,Melbourne,28.0836269,-80.6081089,2011
1,0,Florida,Melbourne,28.0836269,-80.6081089,2012
0,1,Florida,Melbourne,28.0836269,-80.6081089,2013
0,0,Florida,Melbourne,28.0836269,-80.6081089,2014
