City,State,Type,Year,Count,Full,match_addr,latitude,longitude
Denver,CO,Anti-Jewish,2004,3,Colorado,"Denver, Colorado",39.740012,-104.992019
Cheshire,CT,Anti-Jewish,2004,1,Connecticut,"Cheshire, Connecticut",41.5083668,-72.9106202
Danbury,CT,Anti-Jewish,2004,2,Connecticut,"Danbury, Connecticut",41.394817,-73.4540111
Derby,CT,Anti-Jewish,2004,1,Connecticut,"Derby, Connecticut",41.3206523,-73.0889973
Guilford,CT,Anti-Jewish,2004,1,Connecticut,"Guilford, Connecticut",41.288906,-72.674364
Hamden,CT,Anti-Jewish,2004,1,Connecticut,"Hamden, Connecticut",41.3838782,-72.9026064
Madison,CT,Anti-Jewish,2004,1,Connecticut,"Madison, Connecticut",41.2959908,-72.5754149
Meriden,CT,Anti-Jewish,2004,1,Connecticut,"Meriden, Connecticut",41.5381535,-72.8070435
Milford,CT,Anti-Jewish,2004,1,Connecticut,"Milford, Connecticut",41.2306979,-73.064036
New Haven,CT,Anti-Jewish,2004,1,Connecticut,"New Haven, Connecticut",41.307622,-72.924619
Newtown,CT,Anti-Jewish,2004,1,Connecticut,"Newtown, Connecticut",41.4141172,-73.3035651
Middleton,CT,Anti-Jewish,2004,1,Connecticut,"Middleton, Connecticut",41.5623209,-72.6506488
Washington,DC,Anti-Jewish,2004,2,District of Columbia,"Washington, District of Columbia",38.890373,-77.031958
New Castle County,DE,Anti-Jewish,2004,0,Delaware,"New Castle County, Delaware",39.5392979,-75.667356
Chicago,IL,Anti-Jewish,2004,5,Illinois,"Chicago, Illinois",41.884253,-87.632449
Indianapolis,IN,Anti-Jewish,2004,0,Indiana,"Indianapolis, Indiana",39.766913,-86.149957
New Orleans,LA,Anti-Jewish,2004,2,Louisiana,"New Orleans, Louisiana",29.953701,-90.077751
Baltimore,MD,Anti-Jewish,2004,2,Maryland,"Baltimore, Maryland",39.290583,-76.609261
Kingsford,MI,Anti-Jewish,2004,0,Michigan,"Kingsford, Michigan",45.7949561,-88.0720706
Genesee,MI,Anti-Jewish,2004,0,Michigan,"Genesee, Michigan",43.0777289,-83.6773928
Clayton Township,MI,Anti-Jewish,2004,0,Michigan,"Clayton Township, Michigan",42.9913566,-83.8685072
Flint,MI,Anti-Jewish,2004,0,Michigan,"Flint, Michigan",43.011444,-83.686788
Hillsdale,MI,Anti-Jewish,2004,0,Michigan,"Hillsdale, Michigan",41.9200472,-84.6305101
Lansing,MI,Anti-Jewish,2004,1,Michigan,"Lansing, Michigan",42.73194,-84.55225
Grand Rapids,MI,Anti-Jewish,2004,1,Michigan,"Grand Rapids, Michigan",42.966413,-85.671177
Wyoming,MI,Anti-Jewish,2004,1,Michigan,"Wyoming, Michigan",42.9133602,-85.7053085
Warren,MI,Anti-Jewish,2004,0,Michigan,"Warren, Michigan",42.511111,-83.02852
Midland,MI,Anti-Jewish,2004,0,Michigan,"Midland, Michigan",43.6155825,-84.2472116
Howard City,MI,Anti-Jewish,2004,1,Michigan,"Howard City, Michigan",43.3955831,-85.467815
Oakland,MI,Anti-Jewish,2004,1,Michigan,"Oakland, Michigan",42.7561109,-83.1434573
Bloomfield Township,MI,Anti-Jewish,2004,2,Michigan,"Bloomfield Township, Michigan",42.5793103,-83.2827093
Novi,MI,Anti-Jewish,2004,1,Michigan,"Novi, Michigan",42.48059,-83.4754913
Royal Oak,MI,Anti-Jewish,2004,0,Michigan,"Royal Oak, Michigan",42.4894801,-83.1446485
Troy,MI,Anti-Jewish,2004,0,Michigan,"Troy, Michigan",42.6064095,-83.1497751
Ottawa,MI,Anti-Jewish,2004,1,Michigan,"Ottawa, Michigan",42.953023,-86.0937312
Washtenaw,MI,Anti-Jewish,2004,2,Michigan,"Washtenaw, Michigan",42.3076493,-83.8473015
Ypsilanti,MI,Anti-Jewish,2004,0,Michigan,"Ypsilanti, Michigan",42.2411499,-83.6129939
Dearborn,MI,Anti-Jewish,2004,1,Michigan,"Dearborn, Michigan",42.3222599,-83.1763145
Garden City,MI,Anti-Jewish,2004,0,Michigan,"Garden City, Michigan",42.3255928,-83.3310422
Hamtramck,MI,Anti-Jewish,2004,0,Michigan,"Hamtramck, Michigan",42.3928151,-83.0496438
Wyandotte,MI,Anti-Jewish,2004,0,Michigan,"Wyandotte, Michigan",42.2142064,-83.1499239
Kearney,NE,Anti-Jewish,2004,0,Nebraska,"Kearney, Nebraska",40.6993303,-99.0816784
Omaha,NE,Anti-Jewish,2004,0,Nebraska,"Omaha, Nebraska",41.26067,-95.940558
Lincoln,NE,Anti-Jewish,2004,1,Nebraska,"Lincoln, Nebraska",40.813624,-96.707298
La Vista,NE,Anti-Jewish,2004,1,Nebraska,"La Vista, Nebraska",41.1838878,-96.031127
Plattsburgh,NY,Anti-Jewish,2004,1,New York,"Plattsburgh, New York",44.6994873,-73.4529124
Buffalo,NY,Anti-Jewish,2004,2,New York,"Buffalo, New York",42.885443,-78.878458
Geneseo,NY,Anti-Jewish,2004,2,New York,"Geneseo, New York",42.795896,-77.816947
Oswego,NY,Anti-Jewish,2004,1,New York,"Oswego, New York",43.4553461,-76.5104973
Troy,NY,Anti-Jewish,2004,1,New York,"Troy, New York",42.7284117,-73.6917851
Stony Brook,NY,Anti-Jewish,2004,1,New York,"Stony Brook, New York",40.9256538,-73.1409429
Cornell University,NY,Anti-Jewish,2004,1,New York,"Cornell University, New York",42.4534492,-76.4735027
New Paltz,NY,Anti-Jewish,2004,1,New York,"New Paltz, New York",41.7475933,-74.0868095
Cleveland,OH,Anti-Jewish,2004,0,Ohio,"Cleveland, Ohio",41.504733,-81.690738
Columbus,OH,Anti-Jewish,2004,6,Ohio,"Columbus, Ohio",39.961993,-83.002748
Philadelphia,PA,Anti-Jewish,2004,1,Pennsylvania,"Philadelphia, Pennsylvania",39.952283,-75.162447
Pittsburgh,PA,Anti-Jewish,2004,2,Pennsylvania,"Pittsburgh, Pennsylvania",40.438514,-79.99734
Harris,TX,Anti-Jewish,2004,2,Texas,"Harris, Texas",29.7751825,-95.3102505
Bellaire,TX,Anti-Jewish,2004,1,Texas,"Bellaire, Texas",29.7057858,-95.4588299
Lubbock,TX,Anti-Jewish,2004,0,Texas,"Lubbock, Texas",33.584514,-101.845009
Lubbock,TX,Anti-Jewish,2004,1,Texas,"Lubbock, Texas",33.584514,-101.845009
Corpus Christi,TX,Anti-Jewish,2004,2,Texas,"Corpus Christi, Texas",27.796413,-97.403737
Rockwall,TX,Anti-Jewish,2004,1,Texas,"Rockwall, Texas",32.9312336,-96.4597089
Arlington,TX,Anti-Jewish,2004,1,Texas,"Arlington, Texas",32.735604,-97.107717
