longitude,latitude,city,state,2010,2011,2012,2013,2014,2015,population
-157.858093,21.315603,Honolulu,Hawaii,Did Not Report,Did Not Report,Did Not Report,Did Not Report,Did Not Report,Did Not Report,NA
-81.656217,30.331474,Jacksonville,Florida,0,0,0,0,0,Did Not Report,NA
-122.676207,45.523452,Portland,Oregon,0,0,0,0,Did Not Report,Did Not Report,NA
-80.197728,25.774813,Miami,Florida,0,0,0,0,0,Did Not Report,NA
-82.459269,27.946532,Tampa,Florida,0,0,0,0,0,Did Not Report,NA
-81.377389,28.538234,Orlando,Florida,0,0,0,0,0,Did Not Report,NA
-82.638757,27.771192,St. Petersburg,Florida,0,0,0,0,0,Did Not Report,NA
-91.18699,30.443342,Baton Rouge,Louisiana,Did Not Report,Did Not Report,Did Not Report,Did Not Report,Did Not Report,0,NA
-86.80249,33.52066,Birmingham,Alabama,Did Not Report,Did Not Report,Did Not Report,Did Not Report,Did Not Report,0,NA
-86.300077,32.380153,Montgomery,Alabama,0,0,Did Not Report,Did Not Report,Did Not Report,0,NA
-88.15354,41.75084,Naperville,Illinois,Did Not Report,Did Not Report,0,0,Did Not Report,0,NA
-72.674017,41.763493,Hartford,Connecticut,0,0,0,0,Did Not Report,0,NA
-83.36,33.95,Athens-Clarke County,Georgia,0,0,,Did Not Report,Did Not Report,0,NA
-80.281499,25.826984,Hialeah,Florida,0,0,0,0,0,Did Not Report,NA
-86.59,34.73,Huntsville,Alabama,0,0,0,0,Did Not Report,Did Not Report,NA
-80.143557,26.12367,Fort Lauderdale,Florida,0,0,0,0,0,Did Not Report,NA
-81.95694,26.629823,Cape Coral,Florida,0,0,0,0,0,Did Not Report,NA
-90.180487,32.298694,Jackson,Mississippi,0,0,Did Not Report,0,0,Did Not Report,NA
-80.160077,26.010411,Hollywood,Florida,0,0,0,0,0,Did Not Report,NA
-80.220517,25.982051,Miramar,Florida,0,0,0,0,0,Did Not Report,NA
-122.435337,45.506276,Gresham,Oregon,0,Did Not Report,Did Not Report,Did Not Report,Did Not Report,Did Not Report,NA
-80.125218,26.231453,Pompano Beach,Florida,0,0,0,0,0,Did Not Report,NA
-81.947858,28.044192,Lakeland,Florida,0,0,0,0,0,Did Not Report,NA
-106.763654,32.31994,Las Cruces,New Mexico,Did Not Report,Did Not Report,Did Not Report,Did Not Report,Did Not Report,Did Not Report,NA
-122.989827,45.522894,Hillsboro,Oregon,0,0,Did Not Report,Did Not Report,Did Not Report,Did Not Report,NA
-80.252116,26.076478,Davie,Florida,0,0,0,0,0,Did Not Report,NA
