date,Total ,Anti Jewish,Anti Muslim,Disability,Gender,Gender Identity,Race,Sexual Orientation,Ethnicity,Race/Ethnicity
2015,5850,664,257,74,23,114,NA,1053,NA,3310
2014,5479,609,154,84,33,98,2568,1017,648,NA
2013,5928,625,135,83,18,31,2871,1233,655,NA
2012,5796,674,130,92,NA,NA,2797,1135,667,NA
2011,6222,771,157,53,NA,NA,2917,1293,720,NA
2010,6628,887,160,43,NA,NA,3135,1277,847,NA
2009,6604,931,107,96,NA,NA,3199,1223,777,NA
2008,7783,1013,105,78,NA,NA,3992,1297,894,NA
2007,7624,969,115,79,NA,NA,3870,1265,1007,NA
2006,7722,967,156,79,NA,NA,4000,1195,984,NA
2005,7163,848,128,53,NA,NA,3919,1017,944,NA
2004,7649,954,156,57,NA,NA,4042,1197,972,NA
