City,State,Year,Anti-Jewish,Anti-Islamic,Full,clean,lat,long
Homestead,FL,2010,0,0,Florida,"homestead, florida",25.4687224,-80.4775569
Homestead,FL,2011,0,0,Florida,"homestead, florida",25.4687224,-80.4775569
Homestead,FL,2012,0,1,Florida,"homestead, florida",25.4687224,-80.4775569
Homestead,FL,2013,0,0,Florida,"homestead, florida",25.4687224,-80.4775569
Homestead,FL,2014,0,0,Florida,"homestead, florida",25.4687224,-80.4775569
Homestead,FL,2015,0,0,Florida,"homestead, florida",25.4687224,-80.4775569
Coral Gables,FL,2010,0,0,Florida,"coral gables, florida",25.72149,-80.2683838
Coral Gables,FL,2011,0,0,Florida,"coral gables, florida",25.72149,-80.2683838
Coral Gables,FL,2012,1,0,Florida,"coral gables, florida",25.72149,-80.2683838
Coral Gables,FL,2013,0,0,Florida,"coral gables, florida",25.72149,-80.2683838
Coral Gables,FL,2014,0,0,Florida,"coral gables, florida",25.72149,-80.2683838
Coral Gables,FL,2015,0,0,Florida,"coral gables, florida",25.72149,-80.2683838
Miami Beach,FL,2010,0,0,Florida,"miami beach, florida",25.790654,-80.1300455
Miami Beach,FL,2011,1,0,Florida,"miami beach, florida",25.790654,-80.1300455
Miami Beach,FL,2012,0,0,Florida,"miami beach, florida",25.790654,-80.1300455
Miami Beach,FL,2013,0,0,Florida,"miami beach, florida",25.790654,-80.1300455
Miami Beach,FL,2014,4,0,Florida,"miami beach, florida",25.790654,-80.1300455
Miami Beach,FL,2015,5,1,Florida,"miami beach, florida",25.790654,-80.1300455
North Miami,FL,2010,1,0,Florida,"north miami, florida",25.8900949,-80.1867138
North Miami,FL,2011,0,0,Florida,"north miami, florida",25.8900949,-80.1867138
North Miami,FL,2012,0,0,Florida,"north miami, florida",25.8900949,-80.1867138
North Miami,FL,2013,0,0,Florida,"north miami, florida",25.8900949,-80.1867138
North Miami,FL,2014,0,0,Florida,"north miami, florida",25.8900949,-80.1867138
North Miami,FL,2015,0,0,Florida,"north miami, florida",25.8900949,-80.1867138
North Miami Beach,FL,2010,0,0,Florida,"north miami beach, florida",25.9331488,-80.1625463
North Miami Beach,FL,2011,0,0,Florida,"north miami beach, florida",25.9331488,-80.1625463
North Miami Beach,FL,2012,0,0,Florida,"north miami beach, florida",25.9331488,-80.1625463
